AUT_ID,date,collector,lat,lon,locality,city,state,country,genus,species,id_method,id_by,alate,coordinate_generalized,privacy_radius_m
AUT-2024-0026,2024-04-03,NM,32.583742,-85.419771,,,AL,USA,Kalotermes,approximatus,morphology,NM,0,yes,300
AUT-2024-0023,2024-05-23,NM,30.275317,-87.649788,,,AL,USA,Kalotermes,approximatus,morphology,NM,0,yes,300
AUT-2024-0024,2024-05-23,NM,30.627867,-87.916433,,,AL,USA,Kalotermes,approximatus,morphology,NM,0,yes,300
AUT-2024-0025,2024-10-22,NM,28.604419,-81.154705,,,FL,USA,Kalotermes,approximatus,morphology,NM,1,yes,300
AUT-2024-0033,2024-11-06,NM/EC,30.272989,-87.649536,,,AL,USA,Kalotermes,approximatus,morphology,NM,0,yes,300
AUT-2025-0041,2025-06-15,"EC,NM,TN",29.712964,-82.461886,,,FL,USA,Kalotermes,approximatus,morphology,NM,1,yes,300
AUT-2026-0029,2026-04-12,NM,32.599927,-85.873640,,,AL,USA,Kalotermes,approximatus,morphology,NM,0,yes,300
AUT-2026-0027,2026-05-03,NM,32.461817,-85.654720,,,AL,USA,Kalotermes,approximatus,morphology,NM,0,yes,300
AUT-2026-0033,2026-06-11,MS,32.600155,-85.481322,,,AL,USA,Kalotermes,approximatus,morphology,NM,1,yes,300
AUT-2024-0029,2024-03-22,NM,32.672548,-85.512944,,,AL,USA,Reticulitermes,flavipes,16s,MS,1,yes,300
AUT-2024-0003,2024-05-23,NM,30.272494,-87.649506,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0004,2024-05-23,NM,30.293811,-87.573081,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0022,2024-06-13,NM,32.968476,-85.647469,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0001,2024-07-02,NM,34.512835,-86.958054,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0005,2024-07-02,NM,34.511833,-86.959239,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0006,2024-08-04,NM,32.585032,-85.475129,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0007,2024-09-17,NM,32.588002,-85.415909,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0016,2024-09-28,NM,32.658776,-85.384941,,,AL,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2024-0008,2024-10-01,NM,32.583282,-85.416709,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0017,2024-10-01,EC,32.585320,-85.419985,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0002,2024-10-10,NM,32.583970,-85.416146,,,AL,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2024-0009,2024-10-10,NM,32.588269,-85.414327,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0010,2024-10-10,NM,32.584997,-85.412982,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0011,2024-10-10,NM,32.585336,-85.422592,,,AL,USA,Reticulitermes,flavipes,16s,MS,0,yes,300
AUT-2024-0045,2024-10-22,NM,28.589499,-81.157506,,,FL,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2024-0020,2024-10-26,NM,31.776343,-85.145773,,,AL,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2024-0021,2024-10-26,NM,31.773023,-85.145547,,,AL,USA,Reticulitermes,flavipes,16s,MS,,yes,300
AUT-2024-0013,2024-11-06,NM/EC,30.346436,-87.630095,,,AL,USA,Reticulitermes,flavipes,16s,MS,,yes,300
AUT-2024-0014,2024-11-06,NM/EC,30.338271,-87.640261,,,AL,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2024-0018,2024-11-06,EC,30.281230,-87.617763,,,AL,USA,Reticulitermes,flavipes,16s,MS,,yes,300
AUT-2024-0028,2024-11-06,EC,30.281919,-87.615904,,,AL,USA,Reticulitermes,flavipes,16s,MS,1,yes,300
AUT-2025-0001,2025-03-01,NM,31.774161,-85.146778,,,AL,USA,Reticulitermes,flavipes,,,1,yes,300
AUT-2025-0005,2025-03-02,NM,31.773773,-85.144663,,,AL,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2025-0006,2025-03-02,NM,31.773111,-85.146177,,,AL,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2025-0024,2025-03-02,NM,31.776321,-85.147552,,,AL,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2025-0013,2025-03-12,NM,30.348548,-91.072872,,,LA,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2025-0018,2025-03-13,NM,30.309664,-89.610202,,,MS,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2025-0020,2025-03-15,NM,32.584371,-85.479050,,,AL,USA,Reticulitermes,flavipes,,,1,yes,300
AUT-2025-0023,2025-03-22,NM,32.533812,-84.931024,,,GA,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2025-0025,2025-04-13,NM,32.579185,-85.485180,,,AL,USA,Reticulitermes,flavipes,COI,UCR,1,yes,300
AUT-2025-0043,2025-06-16,"EC, NM, TN, BV",29.712878,-82.462538,,,FL,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2025-0044,2025-06-16,"EC, NM, TN, BV",29.708588,-82.458779,,,FL,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2025-0054,2025-06-16,"EC, NM, TN, BV",29.712538,-82.457886,,,FL,USA,Reticulitermes,flavipes,,,,yes,300
AUT-2025-0045,2025-06-19,"EC, NM, TN",32.585502,-85.423519,,,AL,USA,Reticulitermes,flavipes,,,,yes,300
AUT-2025-0046,2025-06-19,"EC, NM, TN",32.588106,-85.419632,,,AL,USA,Reticulitermes,flavipes,,,,yes,300
AUT-2025-0047,2025-06-19,"EC, NM, TN",32.585970,-85.422049,,,AL,USA,Reticulitermes,flavipes,,,,yes,300
AUT-2025-0050,2025-06-19,"EC, NM, TN",32.586818,-85.417050,,,AL,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2025-0051,2025-06-24,"EC, NM, TN",32.582997,-85.418542,,,AL,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2025-0052,2025-06-24,"EC, NM, TN",32.580008,-85.420852,,,AL,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2025-0037,2025-12-18,NM,30.708124,-88.145292,,,AL,USA,Reticulitermes,flavipes,,,,yes,300
AUT-2026-0022,2026-02-20,EC,32.674789,-85.510246,,,AL,USA,Reticulitermes,flavipes,morphology; phenology,,,yes,300
AUT-2026-0023,2026-02-20,EC,32.677297,-85.508234,,,AL,USA,Reticulitermes,flavipes,morphology; phenology,,,yes,300
AUT-2026-0024,2026-03-06,EC,32.677254,-85.509461,,,AL,USA,Reticulitermes,flavipes,morphology; phenology,,,yes,300
AUT-2026-0025,2026-03-06,EC,32.675861,-85.511767,,,AL,USA,Reticulitermes,flavipes,morphology; phenology,,,yes,300
AUT-2026-0016,2026-03-14,NM,32.275389,-85.127924,,,AL,USA,Reticulitermes,flavipes,morphology; phenology,NM,1,yes,300
