AUT_ID,date,collector,lat,lon,locality,city,state,country,genus,species,id_method,id_by,alate,coordinate_generalized,privacy_radius_m
AUT-2026-0021,2026-03-24,EC,32.598166,-85.480743,,,AL,USA,Reticulitermes,flavipes,,,,yes,300
AUT-2026-0009,2026-03-28,EC,32.784200,-85.152053,,,AL,USA,Reticulitermes,flavipes,,,,yes,300
AUT-2026-0026,2026-03-28,EC,32.361167,-85.284682,,,AL,USA,Reticulitermes,flavipes,,,,yes,300
AUT-2026-0013,2026-07-09,NM,41.483593,-81.570810,,,OH,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2026-0014,2026-07-09,NM,41.428791,-81.601276,,,OH,USA,Reticulitermes,flavipes,COI,UCR,0,yes,300
AUT-2024-0044,2024-05-22,NM,30.654156,-88.187700,,,AL,USA,Coptotermes,formosanus,morphology,NM,0,yes,300
AUT-2024-0034,2024-05-23,NM,30.677731,-88.127611,,,AL,USA,Coptotermes,formosanus,morphology,NM,0,yes,300
AUT-2024-0037,2024-05-23,NM,30.626224,-87.918441,,,AL,USA,Coptotermes,formosanus,morphology,NM,1,yes,300
AUT-2024-0046,2024-06-28,AG,30.254465,-87.706226,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0036,2024-07-02,Cook Pest Management,34.588032,-87.025721,,,AL,USA,Coptotermes,formosanus,morphology,NM,0,yes,300
AUT-2024-0049,2024-07-02,AG,30.745352,-88.262039,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0079,2024-07-02,AG,30.746789,-88.277542,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0052,2024-07-03,AG,30.756894,-88.077561,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0050,2024-07-08,AG,30.663285,-88.103256,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0051,2024-07-11,AG,30.497954,-88.233941,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0061,2024-07-11,AG,30.769474,-88.185483,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0055,2024-07-12,AG,30.603113,-88.094787,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0077,2024-07-12,AG,30.330225,-87.711231,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0073,2024-07-16,AG,30.600432,-88.058430,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0069,2024-07-22,AG,30.805234,-88.076973,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0080,2024-07-23,AG,30.468228,-88.317252,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0053,2024-07-24,AG,30.859132,-88.141514,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0063,2024-07-30,PK,30.709880,-88.103611,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0047,2024-08-02,AG,30.804360,-88.077912,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0056,2024-08-07,PK,30.707635,-88.082104,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0062,2024-08-07,AG,30.480706,-88.342668,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0048,2024-08-08,AG,30.648992,-88.099888,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0067,2024-08-09,AG,30.667565,-88.260600,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0054,2024-08-14,AG,30.674125,-88.178768,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0081,2024-08-26,AG,30.765613,-88.138287,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0065,2024-08-30,AG,30.758624,-88.077368,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0059,2024-09-20,AG,30.708981,-88.300002,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0068,2024-09-25,AG,30.764374,-88.213931,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0060,2024-10-01,AG,30.589877,-88.230849,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0072,2024-10-02,AG,30.575102,-88.189829,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0084,2024-10-03,AG,30.430387,-88.303577,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0085,2024-10-08,AG,30.617965,-88.094515,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0083,2024-10-17,AG,30.619622,-88.072282,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0088,2024-10-17,AG,30.690821,-88.105234,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0038,2024-10-19,NM,32.483015,-84.964230,,,GA,USA,Coptotermes,formosanus,morphology,NM,0,yes,300
AUT-2024-0099,2024-10-31,AG,30.817840,-88.065402,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0035,2024-11-06,NM/EC,30.284062,-87.616655,,,AL,USA,Coptotermes,formosanus,morphology,NM,0,yes,300
AUT-2024-0090,2024-11-15,AG,31.353842,-88.167187,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0096,2024-11-25,AG,30.659643,-88.082815,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2024-0092,2024-12-30,AG,30.696109,-88.221094,,,AL,USA,Coptotermes,formosanus,soldier,SH,0,yes,300
AUT-2025-0059,2025-03-12,NM,30.385940,-91.205434,,,LA,USA,Coptotermes,formosanus,morphology,NM,0,yes,300
AUT-2025-0056,2025-05-19,"collected by Ward Davis, Circle Pest Control, submitted by Eric Hataway, Territory Manager, Urban Pest Mangaement, Corteva Agriscience",,,,,AL,USA,Coptotermes,formosanus,morphology,NM,1,no_coordinate,
AUT-2025-0058,2025-05-19,Jennifer Davidson,,,,,AL,USA,Coptotermes,formosanus,morphology,NM,1,no_coordinate,
AUT-2025-0057,2025-05-29,Jack Brewer,,,,,AL,USA,Coptotermes,formosanus,morphology,NM,1,no_coordinate,
AUT-2025-0036,2025-12-19,NM,30.629501,-87.918612,,,AL,USA,Coptotermes,formosanus,soldier,NM,0,yes,300
AUT-2026-0032,2026-05-19,NM,32.579967,-85.489146,,,AL,USA,Coptotermes,formosanus,morphology,NM,1,yes,300
AUT-2024-0039,2024-07-02,NM,34.509807,-86.958876,,,AL,USA,Reticulitermes,hageni,COI,UCR,0,yes,300
AUT-2024-0041,2024-07-02,NM,34.574612,-86.943181,,,AL,USA,Reticulitermes,hageni,COI,UCR,1,yes,300
AUT-2024-0040,2024-10-05,NM,32.363562,-86.455944,,,AL,USA,Reticulitermes,hageni,COI,UCR,0,yes,300
AUT-2025-0035,2025-08-05,EC,38.714078,-87.774933,,,IL,USA,Reticulitermes,hageni,COI,UCR,1,yes,300
AUT-2024-0031,2024-11-14,NM/EC,33.274855,-111.136264,,,AZ,USA,Marginitermes,hubbardi,morphology,,,yes,300
AUT-2024-0032,2024-11-14,NM/EC,33.277584,-111.136178,,,AZ,USA,Marginitermes,hubbardi,morphology,,,yes,300
AUT-2024-0027,2024-03-22,NM,32.675397,-85.513409,,,AL,USA,Reticulitermes,malletei,,,,yes,300
AUT-2025-0021,2025-03-21,NM,32.672971,-85.515118,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2025-0026,2025-05-15,"EC, NM",33.470542,-85.809342,,,AL,USA,Reticulitermes,malletei,,,,yes,300
AUT-2025-0028,2025-05-15,"EC, NM",33.465347,-85.809222,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2025-0029,2025-05-15,"EC, HO, NM, BV, DY",33.470378,-85.809644,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2025-0039,2025-06-19,"EC, NM, TN",32.584943,-85.418514,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2025-0040,2025-06-24,"EC, NM, TN",32.580303,-85.417133,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2025-0038,2025-08-31,NM,33.445721,-85.841427,,,AL,USA,Reticulitermes,malletei,COI,UCR,0,yes,300
AUT-2026-0010,2026-03-31,EC,32.597694,-85.505871,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2026-0004,2026-04-09,EC,32.672659,-85.509692,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2026-0019,2026-04-12,NM,32.600409,-85.873413,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2026-0020,2026-04-12,NM,32.597725,-85.869295,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2026-0003,2026-05-01,EC,32.681847,-85.513639,,,AL,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2026-0018,2026-05-09,NM,32.809150,-84.862166,,,GA,USA,Reticulitermes,malletei,COI,UCR,1,yes,300
AUT-2024-0030,2024-11-14,NM/EC,33.274526,-111.138041,,,AZ,USA,Incisitermes,minor,morphology,,,yes,300
AUT-2026-0006,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,no_coordinate,
AUT-2026-0015,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,no_coordinate,
AUT-2024-0043,2024-10-22,NM,28.589412,-81.154561,,,FL,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2024-0019,2024-11-07,NM/EC,30.285026,-87.616817,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2025-0008,2025-03-08,NM,30.657160,-88.185429,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2025-0009,2025-03-08,NM,30.655955,-88.185928,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2025-0011,2025-03-08,NM,30.655138,-88.187376,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2025-0017,2025-03-12,NM,30.342981,-91.072063,,,LA,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2025-0027,2025-05-15,"EC, NM",33.469560,-85.807224,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2025-0033,2025-06-16,"EC, NM, TN, BV",29.711557,-82.460922,,,FL,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2025-0034,2025-06-16,"EC, NM, TN, BV",29.709504,-82.461563,,,FL,USA,Reticulitermes,nelsonae,COI,UCR,0,yes,300
AUT-2026-0011,2026-03-28,NM,33.472078,-85.823972,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,1,yes,300
AUT-2026-0005,2026-05-03,NM,32.461248,-85.654521,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,1,yes,300
AUT-2026-0007,2026-05-03,NM,32.457567,-85.651869,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,1,yes,300
AUT-2026-0012,2026-05-06,EC,32.458902,-85.623718,,,AL,USA,Reticulitermes,nelsonae,COI,UCR,1,yes,300
,,,,,,,,,Reticulitermes,nelsonae,COI,UCR,0,no_coordinate,
AUT-2024-0066,2024-07-09,AG,30.871447,-88.031981,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0058,2024-07-31,AG,30.574948,-88.242019,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0074,2024-08-01,AG,30.862972,-88.039693,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0075,2024-08-02,PK,31.068430,-88.047088,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0071,2024-08-09,AG,30.601864,-88.096010,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0070,2024-08-27,AG,30.404655,-88.235039,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0045,2024-09-12,AG,30.530048,-88.169231,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0064,2024-09-20,AG,30.710576,-88.303945,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0076,2024-09-20,AG,30.828088,-88.313731,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0078,2024-09-25,BB,30.817144,-88.261256,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0057,2024-09-27,AG,30.982051,-88.150572,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0089,2024-10-04,AG,30.853012,-88.048626,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0087,2024-10-07,AG,30.541765,-88.270576,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0086,2024-10-14,AG,31.071310,-88.295858,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0082,2024-10-15,AG,30.629273,-88.327978,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0095,2024-10-21,AG,30.710226,-88.102389,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0098,2024-11-01,AG,30.923378,-87.771320,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0091,2024-11-07,AG,30.713143,-88.277353,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0100,2024-11-07,AG,30.450052,-88.276539,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0094,2024-11-12,AG,30.871850,-88.033343,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0093,2024-11-13,AG,31.093398,-88.246104,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0101,2024-11-27,AG,30.883874,-88.046589,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2024-0097,2024-12-27,AG,30.601630,-88.079096,,,AL,USA,Reticulitermes,sp,soldier,SH,0,yes,300
AUT-2025-0002,2025-03-01,NM,31.775521,-85.142228,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0003,2025-03-02,NM,31.774150,-85.142107,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0004,2025-03-02,NM,31.776434,-85.141881,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0007,2025-03-02,NM,31.773338,-85.143564,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0010,2025-03-08,NM,30.657262,-88.186350,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0012,2025-03-12,NM,30.346212,-91.071750,,,LA,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0014,2025-03-12,NM,30.387677,-91.202166,,,LA,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0015,2025-03-12,NM,30.386833,-91.201038,,,LA,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0016,2025-03-12,NM,30.386578,-91.202289,,,LA,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0019,2025-03-13,NM,30.309215,-89.609468,,,MS,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0022,2025-03-22,NM,32.529121,-84.930067,,,GA,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0055,2025-05-15,"EC, HO, NM, BV, DY",33.467574,-85.810028,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0042,2025-06-16,"EC, NM, TN, BV",29.711076,-82.460767,,,FL,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0048,2025-06-19,"EC, NM, TN",32.585010,-85.421012,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2025-0053,2025-06-19,"EC, NM, TN",32.587076,-85.422460,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2026-0017,2026-05-09,NM,,,,,GA,USA,Reticulitermes,sp,,,1,no_coordinate,
AUT-2026-0028,2026-05-30,NM,33.332614,-86.751887,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2026-0030,2026-06-20,NM,34.576945,-80.231229,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2026-0031,2026-06-20,NM,34.578616,-80.226091,,,AL,USA,Reticulitermes,sp,,,,yes,300
AUT-2024-0012,2024-11-14,NM/EC,33.284969,-110.793700,,,AZ,USA,Reticulitermes,tibialis,distribution,,,yes,300
AUT-2024-0015,2024-11-14,NM/EC,33.284905,-110.797072,,,AZ,USA,Reticulitermes,tibialis,distribution,,,yes,300
AUT-2025-0030,2025-05-27,"NM, TN",40.564874,-111.814608,,,UT,USA,Reticulitermes,tibialis,,,,yes,300
AUT-2024-0042,2024-07-01,NM,34.509340,-86.954130,,,AL,USA,Reticulitermes,virginicus,COI,UCR,0,yes,300
AUT-2025-0031,2025-06-19,"EC, NM, TN",32.583480,-85.415856,,,AL,USA,Reticulitermes,virginicus,COI,UCR,0,yes,300
AUT-2025-0032,2025-06-19,"EC, NM, TN",32.582432,-85.419217,,,AL,USA,Reticulitermes,virginicus,COI,UCR,0,yes,300
AUT-2025-0049,2025-06-19,"EC, NM, TN",32.582814,-85.418334,,,AL,USA,Reticulitermes,virginicus,COI,UCR,0,yes,300
AUT-2026-0008,2026-03-28,EC,32.785006,-85.155652,,,AL,USA,Reticulitermes,virginicus,COI,UCR,1,yes,300
AUT-2026-0001,2026-05-03,NM,32.458092,-85.654428,,,AL,USA,Reticulitermes,virginicus,COI,UCR,1,yes,300
AUT-2026-0002,2026-05-06,NM,32.457417,-85.655229,,,AL,USA,Reticulitermes,virginicus,COI,UCR,1,yes,300
